,Maximos,Mimimos,Promedios
0,14095.064733556603,0.0,5770.840984348303
1,14095.064733556603,7690.064733556604,10148.64375554189
2,14095.064733556603,8342.758934226415,10956.649291595471
3,14095.064733556603,8338.694200669812,11380.598711662451
4,14095.064733556603,11545.258934226416,12191.937329232465
5,14103.194200669812,11553.388401339624,12549.966971863409
6,14103.194200669812,10908.823667783021,12804.053310413963
7,14103.194200669812,12189.823667783021,12982.417774360378
8,14103.194200669812,12185.758934226416,13364.11634488416
9,14103.194200669812,11537.129467113207,13515.803978105854
10,14739.629467113207,11549.323667783021,13815.114510992635
11,14739.629467113207,13458.629467113207,14084.124510992631
12,14739.629467113207,13450.5,13999.169601918305
13,14739.62946711321,13466.758934226416,14103.194200669808
14,14739.62946711321,14103.194200669812,14128.651611327541
15,14739.62946711321,13462.694200669812,14103.03161132754
16,14739.62946711321,14103.194200669812,14141.380316656408
17,14739.62946711321,13466.758934226416,14217.752548629618
18,14739.62946711321,14103.194200669812,14599.613708495659
19,14739.62946711321,14103.194200669812,14726.90076178434
20,14739.62946711321,14739.629467113207,14739.62946711321
21,14739.62946711321,13466.758934226416,14675.823351126606
22,15376.064733556603,14099.129467113207,14701.199467113207
23,15376.064733556603,12193.888401339622,14458.053351126604
24,15376.064733556603,13454.564733556605,14598.800761784341
25,15376.064733556605,14103.194200669812,14752.276877770943
26,15376.064733556605,14103.194200669812,14752.358172442075
27,15376.064733556605,13466.758934226418,14726.90076178434
28,15376.064733556605,14103.194200669814,14765.005583099812
29,15376.064733556605,11541.194200669812,14700.549109744152
30,16012.5,14103.194200669812,15185.134153623567
31,16012.5,13462.694200669812,15261.262501583384
32,16012.5,14735.564733556605,15337.634733556595
33,16012.5,14735.564733556605,15337.716028227727
34,16012.5,14735.564733556605,15324.743438885464
35,16012.5,14103.194200669814,15337.87861756999
36,16012.5,14095.064733556605,15311.933438885464
37,16012.5,14735.564733556605,15350.363438885463
38,16012.5,14735.564733556605,15324.824733556596
39,16012.5,14735.564733556605,15363.092144214332
40,16012.5,14735.564733556605,15350.282144214332
41,16012.5,14103.194200669814,15312.25861756999
42,16012.5,14735.564733556605,15311.852144214332
43,16012.5,14735.564733556605,15350.526028227727
44,16012.5,14735.564733556605,15350.444733556595
45,16012.5,14739.629467113207,15388.793438885463
46,16012.5,15376.064733556605,15401.522144214332
47,16012.5,14739.629467113207,15388.793438885463
48,16012.5,14103.194200669814,15350.607322898859
49,16012.5,15376.064733556605,15401.522144214332
50,16012.5,14735.564733556605,15375.902144214331
51,16012.5,14735.564733556605,15490.379197503009
52,16012.5,14103.194200669812,15706.116830724714
53,16012.5,15372.0,15948.775178684527
54,16012.5,14731.5,15935.802589342264
55,16012.5,14731.5,15948.693884013395
56,16012.5,14739.629467113207,15923.399062697923
57,16012.5,15372.0,15961.503884013395
58,16012.5,14095.064733556605,15795.136473355658
59,16012.5,14731.5,15935.883884013396
60,16012.5,14739.62946711321,15884.806473355658
61,16012.5,14731.5,15935.965178684528
62,16012.5,14095.064733556605,15718.520357369054
63,16012.5,15372.0,15935.883884013396
64,16012.5,15372.0,15986.88
65,16012.5,16012.5,16012.5
66,16012.5,14739.62946711321,15987.042589342263
67,16012.5,15372.0,15986.961294671131
68,16012.5,15372.0,15948.612589342263
